id,time_observed_at,user_id,user_login,quality_grade,license,image_url,description,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_id,rank,taxon_ids
82075817,2021-06-07T20:58:55Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134676177/medium.jpg,,34.127022489,-118.2889882476,,,False,Frangula californica,coffeeberry,53423,species,47126|211194|47124|47132|49041|53424|53423
82075914,2021-06-07T20:59:41Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134676341/medium.jpg,,34.1270218604,-118.2890335099,,,False,Ribes malvaceum,Chaparral Currant,54942,species,47126|211194|47124|71289|47131|47130|54942
82076130,2021-06-07T21:01:26Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134676622/medium.jpg,,34.1273923824,-118.2898758912,,,False,Pseudognaphalium californicum,California cudweed,53077,species,47126|211194|47124|47605|47604|53078|53077
82076345,2021-06-07T21:04:09Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134677060/medium.jpg,,34.1293004388,-118.290324323,,,False,Datura wrightii,sacred datura,58331,species,47126|211194|47124|48515|48516|48943|58331
82076452,2021-06-07T21:05:13Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134677521/medium.jpg,,34.1379864229,-118.2830838282,,,False,Corethrogyne filaginifolia,California Aster,58014,species,47126|211194|47124|47605|47604|58013|58014
82076690,2021-06-07T21:07:19Z,1499599,kpakradouni,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134677894/medium.jpg,,34.1297075479,-118.2916034852,,,False,Diplacus longiflorus,southern bush monkeyflower,161945,species,47126|211194|47124|48151|64552|157750|161945
82078411,2021-06-07T20:04:57Z,1424366,katlh9,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134680666/medium.jpg,"On Calystegia macrostegia? 
",34.1957966667,-118.6642833333,,,False,Augochlorella pomoniella,Peridot Sweat Bee,82525,species,1|47120|47158|47201|49707|82526|82525
82079079,2021-06-07T21:24:55Z,1931433,kenpremo,research,,https://static.inaturalist.org/photos/134681919/medium.jpg,,34.1414861667,-118.19535,,open,False,Pycnonotus jocosus,Red-whiskered Bulbul,14591,species,1|2|3|7251|14556|14587|14591
82079353,2021-06-07T21:30:35Z,1134468,bergersp,needs_id,,https://static.inaturalist.org/photos/134682376/medium.jpg,,34.0793972829,-118.4685546812,,,False,Plantae,plants,47126,kingdom,47126
82079385,2021-06-07T20:13:43Z,1424366,katlh9,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134682489/medium.jpg,Weird smell. ,34.1957783333,-118.6672216667,,,False,Cucurbita foetidissima,Buffalo Gourd,58138,species,47126|211194|47124|71281|48620|55425|58138
82080073,2021-06-07T20:10:06Z,1424366,katlh9,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134683763/medium.jpg,,34.1956866667,-118.6658466667,,,False,Erigeron foliosus,Leafy Fleabane,57972,species,47126|211194|47124|47605|47604|50879|57972
82081599,2021-06-07T21:08:46Z,1499599,kpakradouni,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134686535/medium.jpg,,34.1335838871,-118.2822096301,,,False,Epilobium canum canum,,53044,subspecies,47126|211194|47124|47791|47790|52972|53051|53044
82082757,2021-06-07T21:55:38Z,142166,misschiffonade,research,,https://static.inaturalist.org/photos/134688727/medium.jpg,,34.0896351091,-118.3214562555,obscured,,True,Malacothrix saxatilis,Cliff Aster,77940,species,47126|211194|47124|47605|47604|58028|77940
82086974,2021-06-07T22:37:39Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134695730/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Apis mellifera,Western Honey Bee,47219,species,1|47120|47158|47201|47221|47220|47219
82088435,2021-06-07T20:59:00Z,282220,ericcleveland,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134697796/medium.jpg,,34.1078665,-118.4360391,,,False,Neoitamus,,61657,genus,1|47120|47158|47822|47982|61657
82089318,2021-06-07T23:01:56Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134700295/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Acacia retinodes,Silver Wattle,57040,species,47126|211194|47124|47123|47122|47452|57040
82090518,2021-06-07T23:12:23Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134702411/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Baccharis pilularis,coyote brush,53359,species,47126|211194|47124|47605|47604|52111|53359
82090579,2021-06-07T23:12:53Z,4419619,moshelevi,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134702518/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Cortaderia selloana,Pampas Grass,64240,species,47126|211194|47163|47162|47434|52715|64240
82090963,2021-06-07T17:34:00Z,444470,andy71,research,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/134700989/medium.jpg,,33.9617638889,-118.4438111111,,,False,Croton californicus,California croton,76484,species,47126|211194|47124|51820|51821|53165|76484
82090967,2021-06-07T17:32:00Z,444470,andy71,needs_id,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/134701101/medium.jpg,Found on Phacelia and replaced after photographing ,33.9617638889,-118.4438111111,,,False,Lepidoptera,Butterflies and Moths,47157,order,1|47120|47158|47157
82090968,2021-06-07T16:28:00Z,444470,andy71,needs_id,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/134701118/medium.jpg,,33.977,-118.4299555556,,,False,Glebionis,,59906,genus,47126|211194|47124|47605|47604|59906
82090972,2021-06-07T17:32:00Z,444470,andy71,needs_id,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/134701348/medium.jpg,For the (out of focus) bumblebee,33.9617638889,-118.4438111111,,,False,Bombus vosnesenskii,Yellow-faced Bumble Bee,57689,species,1|47120|47158|47201|47221|52775|57689
82093870,2021-06-07T23:41:25Z,4419619,moshelevi,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708270/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Rosa gymnocarpa,Baldhip Rose,53441,species,47126|211194|47124|47132|47148|53438|53441
82093881,2021-06-07T23:41:39Z,3206366,vvnnvghn,needs_id,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708305/medium.jpg,,34.1079687509,-118.2939664996,,,False,Plantae,plants,47126,kingdom,47126
82094025,2021-06-07T23:43:08Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708619/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Artemisia californica,California sagebrush,53357,species,47126|211194|47124|47605|47604|52855|53357
82094058,2021-06-07T23:43:25Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708678/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Hesperoyucca whipplei,chaparral yucca,58362,species,47126|211194|47163|47218|47599|58363|58362
82094083,2021-06-07T23:43:42Z,4419619,moshelevi,research,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/134708790/medium.jpeg,,34.1233444214,-118.4091110229,,,False,Hesperoyucca whipplei,chaparral yucca,58362,species,47126|211194|47163|47218|47599|58363|58362
