id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
92861446,18209,Acorn Woodpecker,Melanerpes formicivorus,elizabethbramlett,https://static.inaturalist.org/photos/156380128/medium.jpg,species,18158,1|2|3|17550|17599|18158|18209,39,39,Birds,Neighborhood Species
92045895,32055,Southern Alligator Lizard,Elgaria multicarinata,lynpacificar,https://inaturalist-open-data.s3.amazonaws.com/photos/152342715/medium.jpeg,species,32049,1|2|26036|26172|31888|32049|32055,38,53,,
96530292,20044,Great Horned Owl,Bubo virginianus,crayonsss,https://inaturalist-open-data.s3.amazonaws.com/photos/160382301/medium.jpg,species,20034,1|2|3|19350|19728|20034|20044,37,37,Birds,Park/Natural Area Species
90615830,6317,Anna's Hummingbird,Calypte anna,nbatzdorff,https://static.inaturalist.org/photos/149782510/medium.jpg,species,6315,1|2|3|67573|5562|6315|6317,37,37,,
90074512,47125,flowering plants,Angiospermae,univac,https://inaturalist-open-data.s3.amazonaws.com/photos/148817992/medium.jpg,subphylum,211194,47126|211194|47125,37,37,,
91127962,7089,Canada Goose,Branta canadensis,madiblaney,https://inaturalist-open-data.s3.amazonaws.com/photos/150685296/medium.jpeg,species,7086,1|2|3|6888|6912|7086|7089,37,37,,
92497671,59152,Marine Blue,Leptotes marina,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153162085/medium.jpeg,species,51538,1|47120|47158|47157|47923|51538|59152,36,36,,
90466475,50931,Gray Hairstreak,Strymon melinus,andrewl,https://inaturalist-open-data.s3.amazonaws.com/photos/149517540/medium.jpeg,species,50940,1|47120|47158|47157|47923|50940|50931,36,36,,
91212705,143799,blue elder,Sambucus cerulea,clickmilah,https://inaturalist-open-data.s3.amazonaws.com/photos/150838897/medium.jpg,species,52689,47126|211194|47124|48526|781703|52689|143799,36,36,,
90852862,72486,Egyptian Goose,Alopochen aegyptiaca,kgerner,https://inaturalist-open-data.s3.amazonaws.com/photos/150194899/medium.jpeg,species,7129,1|2|3|6888|6912|7129|72486,36,36,,
97576590,53985,California Mule Deer,Odocoileus hemionus californicus,ericbursch,https://inaturalist-open-data.s3.amazonaws.com/photos/162300164/medium.jpg,subspecies,42220,1|2|40151|152870|42158|42219|42220|53985,35,35,,
90228827,85362,Great Golden Digger Wasp,Sphex ichneumoneus,bradrumble,https://inaturalist-open-data.s3.amazonaws.com/photos/149099522/medium.jpg,species,48739,1|47120|47158|47201|48742|48739|85362,35,35,,
