scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Carangidae,Jacks,Actinopterygii,47232,
Belonidae,Needlefishes,Actinopterygii,52461,
Sepioteuthis lessoniana,Bigfin Reef Squid,Mollusca,121187,
Tursiops,Bottlenose Dolphins,Mammalia,41480,
Chrysaora,Sea Nettles,Animalia,48483,
Netrostoma setouchianum,Purple Crowned Jelly,Animalia,885612,
Stenella longirostris,Spinner Dolphin,Mammalia,41496,
Echeneis naucrates,Sharksucker,Actinopterygii,48844,
Pyrosomatida,Pyrosomes,Animalia,51105,
Rhizostoma pulmo,Barrel Jelly,Animalia,319371,
Aequoreidae,Many-ribbed Jellies,Animalia,171652,
Aurelia aurita,Moon Jelly,Animalia,48328,
Beroe gracilis,,Animalia,1074871,
Cyanea capillata,Lion's Mane Jelly,Animalia,69838,
Elysia viridis,Sap-sucking Slug,Mollusca,470872,
Cyclopterus lumpus,Lumpfish,Actinopterygii,60603,
Tremoctopus violaceus,Atlantic Blanket Octopus,Mollusca,253696,
Rostroraja eglanteria,Clearnose Skate,Animalia,1032432,
Aurelia solida,,Animalia,773335,
Anthopleura xanthogrammica,Giant Green Anemone,Animalia,51659,
Nephtys,Nephthys's Sand-worms,Animalia,117607,
Ectopleura,,Animalia,54578,
Mopalia hindsii,Hind's Chiton,Mollusca,51725,
Glaucus,,Mollusca,50499,
Mytilus edulis,Blue Mussel Complex,Mollusca,1108240,True
Carcharhinus longimanus,Oceanic Whitetip Shark,Animalia,96760,
Actiniidae,Actiniid Sea Anemones,Animalia,47796,
Heliaster kubiniji,Gulf Sun Star,Animalia,255743,
Eristalis,Drone Flies,Insecta,52491,
Cassiopeidae,Upsidedown Jellies,Animalia,128143,
Priapulida,Priapulid Worms,Animalia,151838,
Platynereis bicanaliculata,,Animalia,129876,
Doryteuthis opalescens,Opalescent Inshore Squid,Mollusca,153981,
Okenia rosacea,Hopkins's Rose Nudibranch,Mollusca,48575,True
Melicerona listeri,Cat Cowry,Mollusca,794385,
Mauritia eglantina,Eglantine Cowry,Mollusca,368487,
Actinia tenebrosa,Waratah Anemone,Animalia,126971,
Leucothea multicornis,,Animalia,708730,
Aplysia,,Mollusca,48657,True
Cnidaria,Cnidarians,Animalia,47534,
Aegires albopunctatus,Salt-and-pepper Doris,Mollusca,48981,
Chromista,"kelp, diatoms, and allies",Chromista,48222,True
Charadrius alexandrinus,Kentish Plover,Aves,4789,
Doriopsilla gemela,Yellow-gilled Sea Goddess,Mollusca,479477,True
Bassia bassensis,,Animalia,1238899,
Diaulula sandiegensis,San Diego Dorid,Mollusca,508884,
Navanax inermis,California Aglaja,Mollusca,49848,
Praestheceraeus bellostriatus,,Animalia,550960,
Balanidae,,Animalia,49128,
Stenella frontalis,Atlantic Spotted Dolphin,Mammalia,41503,
Antiopella barbarensis,cockscomb nudibranch,Mollusca,117731,True
Corambe pacifica,Pacific Corambe,Mollusca,50032,
Pseudoceros mexicanus,,Animalia,625465,
Anthopleura sola,Sunburst Anemone,Animalia,49051,True
Pontederia crassipes,common water hyacinth,Plantae,962637,
Norrisia norrisii,Norris's Topsnail,Mollusca,428550,True
Limacia mcdonaldi,McDonald's Dorid,Mollusca,538831,True
Rostanga pulchra,Red Dorid,Mollusca,47473,
Anteaeolidiella oliviae,Olive's Aeolid,Mollusca,464287,
Ancula gibbosa,Humped Ancula Sea Slug,Mollusca,47138,
Aplidium californicum,Pacific Sea Pork,Animalia,131232,
Polycera hedgpethi,Hedgpeth's Dorid,Mollusca,50089,
Melibe leonina,Lion's Mane Nudibranch,Mollusca,48455,
Dendraster excentricus,Eccentric Sand Dollar,Animalia,117696,
Hemigrapsus nudus,Purple Shore Crab,Animalia,48342,
Clinocardium nuttallii,Nuttall's Cockle,Mollusca,69925,
Anurida maritima,Seashore Springtail,Animalia,203347,
Pyrosomatidae,Pyrosomes,Animalia,51103,
Macroramphosus scolopax,Common Bellowsfish,Actinopterygii,47240,
Thalasseus sandvicensis,Sandwich Tern,Aves,144541,
Thysanozoon brocchii,Carpet Flatworm,Animalia,363912,
Metandrocarpa dura,,Animalia,371196,
Fissurellidae,Keyhole Limpets,Mollusca,48646,
Trachurus,Jack Mackerels,Actinopterygii,92583,
Canarya canariensis,,Animalia,1242895,
Drymonema dalmatinum,Big Pink Jelly,Animalia,663225,
Hippocampus ingens,Giant Seahorse,Actinopterygii,102824,
Pseudoceros,,Animalia,52316,
Hyles euphorbiae,Leafy Spurge Hawkmoth,Insecta,70071,
Scyllaea pelagica,Sargassum Nudibranch,Mollusca,203788,
Collozoum,,Protozoa,912304,
Thysanoteuthis rhombus,Diamondback Squid,Mollusca,253735,
Sepia elegans,Elegant Cuttlefish,Mollusca,151394,
Platybelone argalus,Keeltail Needlefish,Actinopterygii,109633,
Polychaeta,Polychaete Worms,Animalia,47490,
Belone belone,Garfish,Actinopterygii,118597,
Naria erosa,Eroded Cowry,Mollusca,747599,
Pancratium maritimum,Sea Daffodil,Plantae,78334,
Mictyris longicarpus,Light-blue Soldier Crab,Animalia,334716,
Meridiastra calcar,Carpet Sea Star,Animalia,355872,
Lunella torquata,Rough turban shell,Mollusca,541751,
Bembicium nanum,Striped-mouth Conniwink,Mollusca,353764,
Eurynebria complanata,the beachcomber,Insecta,606078,
Catostylus tagi,Portuguese Blubber Jelly,Animalia,363872,
Cellana tramoserica,Variegated limpet,Mollusca,353726,
Austrocochlea porcata,Zebra Top Snail,Mollusca,126974,
Nerita melanotragus,,Mollusca,489573,
Austrolittorina unifasciata,Little Blue Periwinkle,Mollusca,546433,
Amphinema rugosum,,Animalia,255135,
Dirona picta,Colorful Dirona,Mollusca,48978,
Doriopsilla albopunctata,White-spotted Sea Goddess,Mollusca,474590,
Polycera atra,Orange-spike Polycera,Mollusca,48458,
Triopha maculata,Spotted Triopha,Mollusca,47110,
Stylochus insolitus,,Animalia,947245,
Hermissenda opalescens,Opalescent Nudibranch,Mollusca,494603,
Thordisa bimaculata,Two-spotted Dorid,Mollusca,50137,
Heptacarpus sitchensis,Red-banded Transparent Shrimp,Animalia,67627,
Flabelligeridae,,Animalia,122156,
Majoidea,Spider Crabs and Decorator Crabs,Animalia,47715,
Armina californica,Striped Nudibranch,Mollusca,47499,
Panopea generosa,Pacific Geoduck,Mollusca,117618,
Mollusca,Mollusks,Mollusca,47115,
Ardea herodias,Great Blue Heron,Aves,4956,True
