taxon_id,common_name,scientific_name,has_globi
41496,Spinner Dolphin,Stenella longirostris,
48842,Remoras,Echeneidae,
48846,,Echeneis,
48844,Sharksucker,Echeneis naucrates,
319373,Barrel Jellies,Rhizostoma,
319371,Barrel Jelly,Rhizostoma pulmo,
48328,Moon Jelly,Aurelia aurita,
1074871,,Beroe gracilis,
69838,Lion's Mane Jelly,Cyanea capillata,
49123,,Plakobranchidae,
47799,,Elysia,
470872,Sap-sucking Slug,Elysia viridis,
60604,Lumpfishes,Cyclopteridae,
60605,,Cyclopterus,
60603,Lumpfish,Cyclopterus lumpus,
253696,Atlantic Blanket Octopus,Tremoctopus violaceus,
47272,Skates,Rajiformes,
48408,Hardnose Skates,Rajidae,
61754,,Rostroraja,
1032432,Clearnose Skate,Rostroraja eglanteria,
773335,,Aurelia solida,
51659,Giant Green Anemone,Anthopleura xanthogrammica,
67314,,Phyllodocida,
117606,Catworms,Nephtyidae,
117607,Nephthys's Sand-worms,Nephtys,
48920,,Tubulariidae,
54578,,Ectopleura,
47631,,Mopaliidae,
47630,,Mopalia,
51725,Hind's Chiton,Mopalia hindsii,
48069,Ground Sharks,Carcharhiniformes,
52301,Requiem Sharks,Carcharhinidae,
53585,Typical Requiem Sharks,Carcharhinus,
96760,Oceanic Whitetip Shark,Carcharhinus longimanus,
47668,Sea Stars,Asteroidea,
47672,Forcipulatidan Sea Stars,Forcipulatida,
195899,Heliasterid Sun Stars,Heliasteridae,
195901,,Heliaster,
255743,Gulf Sun Star,Heliaster kubiniji,
47158,Insects,Insecta,
47822,Flies,Diptera,
49995,Hover Flies,Syrphidae,
52491,Drone Flies,Eristalis,
151838,Priapulid Worms,Priapulida,
49581,,Nereididae,
129877,,Platynereis,
129876,,Platynereis bicanaliculata,
246392,,Doryteuthis,
153981,Opalescent Inshore Squid,Doryteuthis opalescens,
50687,Cowries,Cypraeidae,
519455,,Melicerona,
794385,Cat Cowry,Melicerona listeri,
469045,,Mauritia,
368487,Eglantine Cowry,Mauritia eglantina,
126972,,Actinia,
126971,Waratah Anemone,Actinia tenebrosa,
708730,,Leucothea multicornis,
245600,,Aegiridae,
47812,,Aegires,
48981,Salt-and-pepper Doris,Aegires albopunctatus,
4783,Plovers and Lapwings,Charadriidae,
4784,Typical Plovers,Charadrius,
4789,Kentish Plover,Charadrius alexandrinus,
1238898,,Bassia,
1238899,,Bassia bassensis,
47507,,Discodorididae,
47510,,Diaulula,
508884,San Diego Dorid,Diaulula sandiegensis,
49784,Headshield Slugs,Cephalaspidea,
49843,,Aglajidae,
49847,,Navanax,
49848,California Aglaja,Navanax inermis,
63294,,Euryleptidae,
550959,,Praestheceraeus,
550960,,Praestheceraeus bellostriatus,
49128,,Balanidae,
41503,Atlantic Spotted Dolphin,Stenella frontalis,
48390,,Corambidae,
50033,,Corambe,
50032,Pacific Corambe,Corambe pacifica,
52317,,Pseudocerotidae,
52316,,Pseudoceros,
625465,Mexican Skirt Dancer,Pseudoceros mexicanus,
47163,monocots,Liliopsida,
49146,spiderworts and allies,Commelinales,
52601,,Pontederiaceae,
52602,,Pontederia,
962637,common water hyacinth,Pontederia crassipes,
47474,,Rostanga,
47473,Red Dorid,Rostanga pulchra,
47465,,Aeolidiidae,
50486,,Anteaeolidiella,
464287,Olive's Aeolid,Anteaeolidiella oliviae,
47140,,Goniodorididae,
47139,,Ancula,
47138,Humped Ancula Sea Slug,Ancula gibbosa,
541417,,Aplousobranchia,
56052,,Polyclinidae,
56053,Sea Pork,Aplidium,
131232,Pacific Sea Pork,Aplidium californicum,
47767,,Polyceridae,
48459,,Polycera,
50089,Hedgpeth's Dorid,Polycera hedgpethi,
525277,,Tethydidae,
48456,,Melibe,
48455,Lion's Mane Nudibranch,Melibe leonina,
47548,"Sea Urchins, Sand Dollars, and Heart Urchins",Echinoidea,
47547,Sand Dollars,Clypeasteroida,
117701,,Dendrasteridae,
117702,,Dendraster,
117696,Eccentric Sand Dollar,Dendraster excentricus,
48344,Varunid crabs,Varunidae,
48343,,Hemigrapsus,
48342,Purple Shore Crab,Hemigrapsus nudus,
488959,,Cardiida,
50597,Cockles,Cardiidae,
69926,,Clinocardium,
